Province,2015,2016,2017,2018,2019
Anhui,339.84,330.49,309.46,288.60,267.40
Beijing,110.44,104.45,99.55,89.71,86.80
Chongqing,11.64,194.95,176.50,154.80,154.80
Fujian,436.17,421.66,424.06,400.40,439.90
Gansu,63.83,59.71,53.48,49.80,48.90
Guangdong,330.29,1435.86,1427.33,1282.60,1385.60
Guangxi,1463.80,174.62,171.50,138.90,125.00
Guizhou,355.35,103.41,92.89,82.50,80.30
Hainan,171.86,10.87,10.00,10.10,10.60
Hebei,380.64,367.32,337.09,285.20,276.70
Heilongjiang,124.92,117.40,95.48,87.00,85.50
Henan,950.75,724.19,677.42,480.30,489.10
Hubei,717.31,343.86,315.65,293.00,335.90
Hunan,355.71,336.31,335.88,297.80,308.40
Jiangsu,1139.22,1111.84,1031.37,926.10,846.60
Jiangxi,436.17,269.13,274.50,233.80,234.90
Jilin,149.01,143.47,124.31,106.90,89.00
Liaoning,297.23,228.05,202.55,183.20,193.20
Mongolia,124.57,120.71,91.02,83.10,89.00
Ningxia,32.80,31.12,29.79,28.40,29.70
Qinghai,20.94,20.13,18.62,17.20,16.10
Shandong,263.41,905.76,832.64,696.00,553.60
Shanghai,233.71,215.34,206.48,192.50,192.70
Shanxi,198.14,190.72,194.43,187.10,187.00
Shaanxi,1.99,175.01,169.35,146.80,168.60
Sichuan,191.99,338.15,318.54,295.00,298.90
Tianjin,159.83,146.98,105.23,101.00,98.40
Xinjiang,72.01,71.57,70.66,66.60,70.70
Xizang,94.71,2.00,2.01,2.00,2.20
Yunnan,102.18,90.18,89.60,83.00,84.80
Zhejiang,705.17,690.30,670.51,652.70,678.90
