Province,2015,2016,2017,2018,2019
Anhui,2.11,1.52,1.61,1.66,1.55
Beijing,1.50,0.99,0.96,0.90,0.81
Chongqing,1.99,1.34,1.44,1.47,1.42
Fujian,1.98,1.35,1.39,1.47,1.41
Gansu,0.97,0.71,0.63,0.58,0.58
Guangdong,2.86,2.07,2.08,2.17,2.15
Guangxi,0.66,0.46,0.05,0.44,0.49
Guizhou,0.80,0.47,0.48,0.51,0.54
Hainan,0.44,0.20,0.17,0.24,0.20
Hebei,1.17,0.96,1.03,1.06,1.25
Heilongjiang,0.70,0.58,0.52,0.37,0.53
Henan,1.37,1.01,1.06,1.10,1.12
Hubei,2.19,1.37,1.32,1.33,1.28
Hunan,1.79,1.25,1.36,1.42,1.49
Jiangsu,3.07,2.14,2.14,2.19,2.21
Jiangxi,1.26,0.97,1.11,1.22,1.29
Jilin,0.82,0.61,0.50,0.38,0.58
Liaoning,1.09,1.09,1.17,1.19,1.25
Neimongolia,0.83,0.71,0.67,0.60,0.69
Ningxia,0.95,0.76,0.85,1.00,1.11
Qinghai,0.39,0.30,0.32,0.24,0.32
Shandong,2.85,2.08,2.15,1.85,1.70
Shanghai,2.47,1.74,1.76,1.70,1.55
Shanxi,0.90,0.75,0.72,0.78,0.81
Shaanxi,1.38,0.95,0.90,0.89,0.93
Sichuan,1.06,0.78,0.81,0.84,0.83
Tianjin,3.12,1.96,1.30,1.34,1.51
Xinjiang,0.55,0.41,0.37,0.37,0.32
Xizang,0.04,0.03,0.02,0.06,0.03
Yunnan,0.70,0.50,0.54,0.60,0.56
Zhejiang,2.64,1.77,1.99,2.04,2.04
