Province,2015,2016,2017,2018,2019
Anhui,68314,95963,93527,108782,62743
Beijing,88930,104643,99167,117664,129930
Chongqing,35086,19981,19297,22686,20103
Fujian,17663,27041,26456,37252,30019
Gansu,5504,6114,5785,6035,6056
Guangdong,103941,155581,182639,216469,203311
Guangxi,30815,43078,37976,20302,12412
Guizhou,7538,10953,13885,14992,10770
Hainan,1211,1278,1627,2127,2183
Hebei,11259,14141,13982,18954,20536
Heilongjiang,14663,13177,10607,12017,13125
Henan,21338,28582,35625,46868,30260
Hubei,30204,43789,51569,50664,47450
Hunan,19499,25524,31365,35414,39104
Jiangsu,154608,184632,187005,198801,172409
Jiangxi,5722,8202,11507,14519,14101
Jilin,6154,7537,7780,10530,11269
Liaoning,19332,25561,20500,25476,22492
Neimongolia,2254,2878,2845,3757,4889
Ningxia,2626,2510,2561,2999,2525
Qinghai,1103,1381,949,1287,1232
Shandong,93475,85359,67772,72764,69350
Shanghai,46976,54339,54630,62755,71398
Shanxi,17322,22565,46607,30888,34812
Shaanxi,5680,8208,7379,9395,8424
Sichuan,40437,54277,64642,53805,39539
Tianjin,28510,38153,25652,26661,24574
Xinjiang,3024,3598,3207,3665,3544
Xizang,128,176,273,453,456
Yunnan,6301,7907,7801,9606,8996
Zhejiang,67674,93254,98975,143081,112981
